balance,value,gas,gasUsed,gasPrice,gasPrice
29769330555121280, 24585290000000000, 183753, 129603, 89269380779, 89269380779
529893060489717, 190000000000000000, 156325, 110989, 89269380779, 89269380779
16957528000200310, 43454810198645300, 194012, 137685, 88359598832, 88359598832
17438857982911050, 60000000000000000, 181822, 128030, 88859598832, 88859598832
1033763440315314748, 1380000000000000000, 160339, 110406, 99706155212, 99706155212
0, 21990000000000000, 179158, 125843, 84700000000, 84700000000
1681733417988265588, 6000000000000000000, 197677, 163749, 83407331815, 83407331815
0, 110737751674346213, 186165, 131146, 108900000000, 108900000000
654424435224000, 100000000000000, 173977, 121593, 83112061444, 83112061444
720790669167318714, 500000000000000000, 180513, 126955, 83112061444, 83112061444
26122848290598830, 45913065624667900, 174915, 122353, 97900000000, 97900000000
637284371778632692, 63254155557285221, 191456, 135555, 85800000000, 85800000000
1724748323484426275, 470000000000000000, 311647, 214011, 82000000000, 82000000000
610524123159018369, 30000000000000000, 181804, 128014, 90708284380, 90708284380
11024612806508794, 173000000000000000, 313368, 218136, 99504112818, 99504112818
16320426000000000, 147967700000000000, 163393, 118731, 99000000000, 99000000000
102436217354044879, 140000000000000000, 191338, 135873, 91293966661, 91293966661
46760893247601208, 1000000000000000000, 288391, 195981, 91293966661, 91293966661
3323678682858650907, 500000000000000000, 156409, 113059, 93131017101, 93131017101
35743252372658463, 712424610323583752, 224049, 162756, 93131017101, 93131017101
1357338968233568120, 714897766482461348, 200419, 143024, 93131017101, 93131017101
5187116251839775, 200867000000000000, 163897, 113325, 95414813573, 95414813573
488140900779000, 10000000000000000, 155059, 109951, 106188717635, 106188717635
720790669167318714, 530000000000000000, 218348, 157991, 105688717635, 105688717635
303825107894271091, 216000000000000000, 307189, 213107, 121260866567, 121260866567
59597974961313264, 1000000000000000000, 190779, 135376, 99377356570, 99377356570
1121699156848849253, 500000000000000000, 161856, 111640, 99000000000, 99000000000
8828655676948066, 51468050000000000, 178776, 128031, 111419619470, 111419619470
309983076883537188, 20000000000000000, 192891, 143979, 92140247034, 92140247034
1913737600443059190, 1550000000000000000, 160856, 110830, 101200000000, 101200000000
19827694114772658815, 159165192796746947319, 164005, 137237, 110000000000, 110000000000
23020734000000000, 333148399842724085, 177734, 124666, 101000000000, 101000000000
128981181787507547, 139091615153475378, 182172, 127872, 91193988100, 91193988100
773383655982000, 20000000000000000, 192037, 136408, 87558737016, 87558737016
5360690247056297, 9000000000000000, 181852, 128055, 98194096909, 98194096909
22276739325162706, 55000000000000000, 160754, 110746, 97694096909, 97694096909
324392163283691804, 158429305966724909, 199414, 142187, 91697102629, 91697102629
118274909199481906, 163677317399232373, 167200, 116036, 91697102629, 91697102629
7644468500000000, 160000000000000000, 300594, 222659, 95700000000, 95700000000
16312637962362783, 193000000000000000, 184362, 130113, 101200000000, 101200000000
22817821083604605, 200000000000000000, 185877, 135835, 100903271737, 100903271737
0, 17000000000000000, 152288, 103802, 95700000000, 95700000000
44810077887095549, 357632263359236998, 200116, 142772, 87857806671, 87857806671
67926358845483790, 21493348073564191, 204573, 146486, 86000000000, 86000000000
698151307524312812, 100000000000000000, 184482, 130201, 83983875924, 83983875924
65340749225989720, 9200000000000000000, 180685, 127096, 92000000000, 92000000000
5425853932132115, 60000000000000000, 160936, 110897, 85679847947, 85679847947
7590266706922784, 75000000000000000, 179150, 125837, 84811322787, 84811322787
0, 355568038309258991, 308247, 210113, 76829054967, 76829054967
5826263559996568950, 1100000000000000000, 187836, 132951, 85800000000, 85800000000
6262624534859510, 2700000000000000, 178286, 122329, 86712228171, 86712228171
9016436218731583, 17078178135493812, 234664, 171562, 94833450988, 94833450988
3380890719601495770, 25727504201061720208, 313574, 214986, 90069666545, 90069666545
17099269377577851, 470000000000000000, 189588, 134400, 96070880052, 96070880052
575334209142894043, 5000000000000000000, 198387, 141597, 96070880052, 96070880052
708151920382768104, 2900000000000000000, 291981, 213911, 107000000000, 107000000000
44994037237339834, 100000000000000, 181957, 128139, 96603924378, 96603924378
938435180634000, 120000000000000000, 178369, 125186, 96603924378, 96603924378
10997746227903395, 31999957311291874, 173139, 118421, 96603924378, 96603924378
173630703741479089, 400000000000000000, 182172, 128315, 86930292392, 86930292392
2119165136743980, 1166300000000000000, 191388, 135875, 85204955216, 85204955216
80632638816688751, 45932164605358012, 179790, 125833, 85204955216, 85204955216
23719146861849561, 89821137710172202, 179926, 125937, 94833450988, 94833450988
65550089085261029, 17000000000000000, 181795, 128007, 86478309275, 86478309275
106531889000000000, 670000000000000000, 169274, 117735, 94000000000, 94000000000
2536324870072723, 28000000000000000, 160983, 110935, 86900000000, 86900000000
2492184298144937, 814908439305635678, 189705, 134495, 72230243905, 72230243905
29461750409151390, 50000000000000000, 181778, 127995, 76214738069, 76214738069
268070887242258496, 50000000000000000, 169904, 118252, 76214738069, 76214738069
10415514245369076152, 2300000000000000000, 566458, 115426, 76841292456, 76841292456
235788871012094833, 8700000000000000000, 221048, 160207, 75675422706, 75675422706
73730322911765452, 54685996831270608, 181897, 128091, 75675422706, 75675422706
23951980600000000, 30000000000000000, 180612, 127037, 75900000000, 75900000000
158597086232661948, 30000000000000000, 177672, 124614, 71289964455, 71289964455
8465352940079905, 12000000000000000, 181797, 128009, 71289964455, 71289964455
49025803518732319, 860395754572054740, 215342, 155460, 71289964455, 71289964455
44810077887095549, 194569228227388551, 207847, 149234, 71289964455, 71289964455
7525299329465902, 80000000000000000, 187789, 132923, 79062265645, 79062265645
7878527814392745, 107000000000000000, 181824, 128019, 79062265645, 79062265645
15112310522049986, 20000000000000000, 181155, 127482, 82500000000, 82500000000
50511093581772138, 220000000000000000, 187297, 132520, 75900000000, 75900000000
1187009635785234204, 400000000000000000, 164112, 113501, 70728171163, 70728171163
21640686975565900, 898000000000000000, 190686, 135300, 70178171163, 70178171163
157748461293137346, 100000000000000000, 176484, 123634, 70178171163, 70178171163
17438857982911050, 200000000000000000, 163486, 112989, 74216907618, 74216907618
22993072048929119, 3700000000000000, 161817, 111619, 73716907618, 73716907618
4660963505224420, 100000000000000000, 188394, 130500, 73716907618, 73716907618
15577494085510099, 16188157000000000, 182224, 128359, 86153495982, 86153495982
323508554670000, 468650676205674566, 181753, 127469, 79439820708, 79439820708
60161367831278920, 6645617648038081335, 209283, 149347, 80000000000, 80000000000
7553348700000000, 36000000000000000, 181836, 128041, 75900000000, 75900000000
418816694055876593, 2500000000000000000, 169933, 117212, 77296304219, 77296304219
8236761776002030874, 220580000000000000, 177057, 124120, 84611529077, 84611529077
438182907412833210, 10000000000000000000, 161262, 107285, 84153535869, 84153535869
5358265266772094, 5000000000000000, 166736, 121600, 76831334879, 76831334879
9844868411994398, 11000000000000000, 194715, 138595, 76509506042, 76509506042
27031441785866149, 40000000000000000, 182173, 128317, 75930336378, 75930336378
10011822328708474, 130000000000000000, 181928, 128117, 75930336378, 75930336378
6669087700000000, 130000000000000000, 159248, 109512, 83600000000, 83600000000
76408844741977207, 2200000000000000000, 187552, 132730, 73769141623, 73769141623
148816902571312697, 24000000000000000, 183046, 129023, 83295716112, 83295716112
22565030803379177, 300000000000000000, 198526, 141722, 82795716112, 82795716112
65281694100000000, 187650000000000000, 300586, 222653, 80300000000, 80300000000
6499730748539053, 160000000000000000, 166478, 115442, 76127215871, 76127215871
6950381879740090, 100000000000000000, 164097, 113489, 74870386016, 74870386016
515869591446730853, 2690000000000000000, 163467, 112973, 84700000000, 84700000000
0, 50000000000000000, 181776, 128051, 68338307155, 68338307155
11983884092208984, 365043162548335746, 165290, 115454, 76493807004, 76493807004
5704330820273917, 448000000000000000, 181987, 128164, 76493807004, 76493807004
0, 310500000000000000, 182197, 128337, 85364489815, 85364489815
28567433700037929, 4385403490020655002, 200193, 138946, 79132610249, 79132610249
52942630011174812, 25000000000000000, 300504, 222585, 79132610249, 79132610249
0, 116485046939797202, 297146, 223630, 79132610249, 79132610249
712979327518638, 268000000000000000, 160508, 110545, 79132610249, 79132610249
2106368454156951143, 5000000000000000000, 162396, 112094, 79132610249, 79132610249
1103762732100197377, 920000000000000000, 181824, 131368, 75930327530, 75930327530
3897016867124988, 10000000000000000, 297800, 206452, 75930327530, 75930327530
8491410700000000, 937000000000000000, 189727, 134513, 90200000000, 90200000000
115867260637921628, 45700808394903512, 199912, 138738, 85221166167, 85221166167
14911766951307712, 571277096912809003, 209311, 150434, 85221166167, 85221166167
23866871195587280, 270000000000000000, 183996, 129812, 91906835312, 91906835312
511916749512000, 7500000000000000, 181682, 127915, 82509007862, 82509007862
9646787186733348, 94750800000000000, 192369, 136672, 92889540938, 92889540938
99470672793948515, 108000000000000000, 187238, 132472, 92400000000, 92400000000
10529695210036319, 100000000000000000, 177802, 124722, 84000000000, 84000000000
438182907412833210, 10000000000000000000, 161229, 107291, 84971968714, 84971968714
4640570005199273566, 6013318713277579621, 178926, 125113, 84971968714, 84971968714
44289807800000000, 43000000000000000, 181845, 128049, 90200000000, 90200000000
86416104826095261, 1000000000000000000, 196329, 139930, 85471968714, 85471968714
380079668847974057, 4432490196291362, 170533, 118119, 84971968714, 84971968714
15229821494528422, 100413496362992369, 160603, 110623, 84971968714, 84971968714
1827735266107585020, 161000000000000000, 187338, 132570, 84971968714, 84971968714
209127713193698843, 250000000000000000, 181468, 127739, 105737140884, 105737140884
34429882720851413, 975000000000000000, 190779, 134312, 105737140884, 105737140884
43799657332967562198, 10000000000000000000, 163669, 113138, 120337092851, 120337092851
438786555585000, 2300000000000000, 166736, 121600, 116593289117, 116593289117
8379090716064755, 20000000000000000, 183102, 129068, 124876318135, 124876318135
0, 190000000000000000, 160995, 110945, 104935572057, 104935572057
31968054100000000, 35087866000000000, 174498, 122037, 104500000000, 104500000000
188141143506943464, 250000000000000000, 161236, 111143, 88691099378, 88691099378
57648475676364042, 13388908536994434, 300536, 222611, 88691099378, 88691099378
13037802052034021338, 2049744045528420600, 292297, 222310, 113639337844, 113639337844
26560895785355028, 100000000000000000, 186697, 132028, 99587012857, 99587012857
60161367831278920, 332302720003814927, 187472, 133299, 116000000000, 116000000000
253680169473354163, 130000000000000000, 209014, 150325, 90593758509, 90593758509
0, 85000000000000000, 181867, 128067, 124876318135, 124876318135
14735091793774241, 90000000000000000, 160428, 110480, 109270714142, 109270714142
219081297000000000, 250000000000000000, 191319, 135819, 100000000000, 100000000000
549789197135979670, 340626290341070779, 201040, 143542, 93055312205, 93055312205
53094751176835009, 521418818458683753, 200469, 143066, 93055312205, 93055312205
34699498172668369, 1050000000000000000, 189793, 134567, 93055312205, 93055312205
500978000987983150, 1478000000000000000, 189482, 135376, 93055312205, 93055312205
25089292910008097, 174000000000000000, 182727, 132648, 86212853625, 86212853625
5020015167158642, 100000000000000000, 184888, 130545, 102300000000, 102300000000
9540871592654991, 1000000000000000000, 181965, 128135, 99000000000, 99000000000
1055903762992522208, 230000000000000000, 161035, 110977, 89937725739, 89937725739
30981043476472429, 198033737532462362, 316972, 237352, 102300000000, 102300000000
305144629557418517, 300000000000000000, 187292, 132516, 85490554641, 85490554641
19830613447452022, 88000000000000000, 191338, 135835, 85400554641, 85400554641
77610106157813773, 500000000000000000, 279724, 205539, 94600000000, 94600000000
514373513661583720, 10000000000000000000, 161066, 111003, 77241136805, 77241136805
33784214910804265, 98820714825575419, 291972, 219318, 77241136805, 77241136805
18616896362854666, 25100000000000000, 300572, 222641, 80145184126, 80145184126
160432198353108045, 200000000000000000, 173145, 120912, 79645184126, 79645184126
507955453613558, 190000000000000000, 187580, 132753, 89406979987, 89406979987
3718958678902345466, 3000000000000000000, 189720, 134507, 89252043567, 89252043567
8291055950723310492, 250000000000000000, 191407, 135891, 88752043567, 88752043567
514373513661583720, 10000000000000000000, 156344, 111005, 98220029330, 98220029330
40761319417179297, 21793459557508404, 202298, 144590, 98220029330, 98220029330
10522058339659622, 77000000000000000, 179190, 125870, 97391223016, 97391223016
178508408219664069, 300000000000000000, 184096, 129895, 103851416954, 103851416954
25708219077481285, 200000000000000000, 161122, 111049, 103851416954, 103851416954
15113380532597138, 43000000000000000, 181575, 127826, 103851416954, 103851416954
342881861322000, 250000000000000000, 203577, 145823, 103851416954, 103851416954
425743900522865706, 703781386025409965, 181640, 127866, 106067709801, 106067709801
31018868496529682, 200000000000000000, 184315, 130075, 105893109801, 105893109801
2273789339775439721, 500000000000000000, 185214, 130810, 102239293367, 102239293367
0, 180000000000000000, 181194, 127514, 96800000000, 96800000000
17989325700000000, 30000000000000000, 299360, 221647, 86900000000, 86900000000
9619088612634704351, 2000000000000000000, 156304, 112973, 95709345169, 95709345169
14928391003629884, 40000000000000000, 300529, 221635, 112200000000, 112200000000
881291226222653811, 70000000000000000, 174440, 128661, 86712987457, 86712987457
21120491160693555, 10939985332282083, 173335, 122013, 82197321678, 82197321678
12104247247424616, 120000000000000000, 157315, 110426, 91249668461, 91249668461
40309303464996260, 91048139336423269, 287814, 214789, 75972350954, 75972350954
16117202153865811, 58000000000000000, 158230, 108675, 81629634236, 81629634236
1915752304920026578, 2185140676339161587, 282006, 209947, 82253367607, 82253367607
0, 83761831603453933, 197359, 142966, 101131944051, 101131944051
31633411000000000, 250000000000000000, 183586, 129476, 94600000000, 94600000000
11382106764654759, 63724229809084605, 198565, 141479, 82253367607, 82253367607
35183580531460741, 110000000000000000, 184892, 130547, 104000000000, 104000000000
456751324260000, 1757023921082594790, 199318, 142107, 87015523385, 87015523385
118725398250647136, 200000000000000000, 184752, 130432, 90672760927, 90672760927
792453974779627110, 271295475014966865, 199864, 138684, 90622760927, 90622760927
1058820174981337134, 400000000000000000, 187041, 132310, 101755725604, 101755725604
378709566562135186, 1000000000000000000, 181942, 128128, 101755725604, 101755725604
66593389699335579, 4020000000000000000, 181872, 128070, 96577082050, 96577082050
533795100317342680, 100000000000000000, 181893, 128088, 96577082050, 96577082050
18024228455235684543, 209652377627575, 198487, 141414, 82630771586, 82630771586
81145574294966877, 100000000000000000, 163647, 113219, 81130771586, 81130771586
16941035355918627, 50681677536351746, 182146, 128295, 81130771586, 81130771586
69765370951769946, 100000000000000000, 192204, 136534, 81130771586, 81130771586
22501434573845540, 21815637341855989, 207963, 149311, 81130771586, 81130771586
9352438322639604, 196000000000000000, 183150, 129108, 72961125337, 72961125337
34371895985508951, 850000000000000000, 183837, 129682, 91300000000, 91300000000
204592841418775, 110000000000000, 291199, 214951, 91300000000, 91300000000
30868949733803108, 207000000000000000, 181707, 127935, 79707237870, 79707237870
7275187786549568, 21000000000000000, 183856, 129698, 71926911550, 71926911550
16460762858578216, 333600000000000000, 177686, 120766, 71426911550, 71426911550
0, 20000000000000000, 160993, 110942, 79707237870, 79707237870
14738439711152292, 50000000000000000, 181846, 128049, 81899692530, 81899692530
257796759000000000, 300137530000000000, 185515, 131048, 89000000000, 89000000000
14051220400000000, 20000000000000000, 180066, 126588, 79200000000, 79200000000
101307104511891167, 973037507952058832, 200372, 142985, 73452432639, 73452432639
8567920155112773968, 65000000000000000000, 230875, 174352, 73452432639, 73452432639
25646017660936532, 250000000000000000, 191388, 135875, 77264918787, 77264918787
1988884900000000, 23000000000000000, 300640, 222697, 80300000000, 80300000000
10194656077809133, 100000000000000000, 186211, 131619, 79200000000, 79200000000
31600568984617992, 1010000000000000000, 164227, 113596, 73538433198, 73538433198
4790788897261221, 83300000000000000, 187803, 132911, 84441410665, 84441410665
18024228455235684543, 143892890694838, 195721, 139109, 82768181563, 82768181563
108900312584754113, 200000000000000000, 190737, 135342, 81235050638, 81235050638
14163254023116238, 90000000000000000, 177752, 124680, 81235050638, 81235050638
812100475237442905, 350000000000000000, 187306, 132528, 81235050638, 81235050638
1705213968972878, 120775926585764275, 199407, 142181, 81235050638, 81235050638
0, 2078016730835551768, 163695, 113159, 81235050638, 81235050638
20865348372981534, 30031710000000000, 181795, 128007, 80735050638, 80735050638
106239628350239390, 45897385490748217, 202651, 144884, 86567841163, 86567841163
250717168698302941, 100000000000000000, 300614, 222675, 89100000000, 89100000000
5849026000000000, 20000000000000000, 173727, 121389, 80300000000, 80300000000
0, 80000000000000000, 181824, 128003, 79193872907, 79193872907
8054652377532065625, 4000000000000000000, 189394, 134241, 141649125000, 141649125000
32962548400722260, 1000000000000000, 292492, 216003, 84210260580, 84210260580
1127683178911744565, 801994732256601188, 179680, 125742, 83710260580, 83710260580
0, 300000000000000000, 183343, 129266, 83210260580, 83210260580
2612978196643607, 722959360917171114, 188901, 133426, 83210260580, 83210260580
7546575945547993721, 4000000000000000000, 189280, 134273, 95450000000, 95450000000
16363933962284577, 800000000000000000, 186331, 131728, 92126955194, 92126955194
6973562595935924, 11653716997950543, 187962, 144786, 100789650713, 100789650713
1050651948662514914, 931762455772595236, 179809, 125865, 87590792638, 87590792638
4337533554519798, 1150000000000000000, 191148, 135679, 87090792638, 87090792638
8487909044617247, 20000000000000000, 173713, 120395, 87090792638, 87090792638
9659824288673552045, 2000000000000000000, 168616, 117197, 132841641717, 132841641717
12775666933346586, 296000000000000000, 276844, 205977, 97785168172, 97785168172
4854183407427455, 360823798455579040, 160992, 110943, 97474220572, 97474220572
7546575945547993721, 4000000000000000000, 189465, 134299, 120750000000, 120750000000
157427857421060450, 225000000000000000, 182739, 128772, 105344274263, 105344274263
18312895524714254, 242052549173364276, 160992, 110942, 105344274263, 105344274263
411762085015848095, 600000000000000000, 280377, 208875, 101212344642, 101212344642
46937035107272741958, 1000000000000000000, 165864, 114938, 101212344642, 101212344642
720790669167318714, 500000000000000000, 247107, 181583, 101212344642, 101212344642
1130655596134380933, 5500000000000000000, 405855, 280070, 98963859051, 98963859051
25644447311647790, 10000000000000000, 187316, 132536, 81724932379, 81724932379
1719717911723237412, 415346057808487817, 199147, 141964, 100000000000, 100000000000
206126616095633538, 140000000000000000, 179154, 125795, 101417339493, 101417339493
26995655522311081424, 15000000000000000000, 163665, 113135, 101327339493, 101327339493
10397753950933352911, 6868742377519085169, 231819, 169191, 111067021056, 111067021056
1545340072637497162, 702166453547274714, 200618, 143190, 104688136183, 104688136183
9691319090015800, 250000000000000000, 164636, 113931, 104538136183, 104538136183
297780140254348344, 900000000000000000, 181886, 128082, 104538136183, 104538136183
0, 50000000000000000, 185181, 130784, 115328701689, 115328701689
401029033368596238, 326087000000000000, 189722, 134499, 97393633551, 97393633551
184737833985600023, 739993949359785533, 175022, 125694, 95000000000, 95000000000
6055326173054549954, 1000000000000000000, 181867, 128038, 91300866583, 91300866583
138640174628753686, 5000000000000000000, 161149, 111071, 90565280859, 90565280859
134524325170890890, 1000000000000000000, 299452, 206756, 90065280859, 90065280859
25644447311647790, 75000000000000000, 166482, 115446, 98371956403, 98371956403
0, 80357066414930053, 208866, 150063, 99000000000, 99000000000
11834222458267287, 98166939430748000, 161065, 110947, 89347425616, 89347425616
2863978820384223080, 55000000000000000, 162270, 112979, 86900000000, 86900000000
413526433031124527, 250000000000000000, 189414, 131446, 86149353137, 86149353137
55031700248729830, 220834964000000000, 181272, 127592, 86000000000, 86000000000
72231564304416954, 313087040302818756, 268310, 143702, 74830755563, 74830755563
49154784010901346, 123632938551190, 191757, 135806, 74750755563, 74750755563
1866664153477097231, 58000000000000000000, 201394, 137720, 83047900270, 83047900270
706847816233586680, 355326685181567686, 202959, 145141, 83047900270, 83047900270
12565671248418630, 51301432266557802, 303366, 209931, 83047900270, 83047900270
18024228455235684543, 136608861336793, 191914, 135937, 91721471470, 91721471470
223617485967697269, 516946212453371575, 169968, 118304, 91221471470, 91221471470
18578806426207660, 20000000000000000, 184440, 130176, 90647430274, 90647430274
188986119415998942, 1000000000000000000, 220752, 159964, 89893306274, 89893306274
375870460153644455, 2652949162639108397, 185388, 130498, 84717365926, 84717365926
11454585464086739, 175000000000000000, 303823, 210306, 77327743530, 77327743530
425432416555591683, 905863858129870685, 182569, 134517, 77327743530, 77327743530
322775668593000, 2490396637966309, 190357, 134639, 76937743530, 76937743530
156637140241445210, 100000000000000000, 160465, 110510, 91300000000, 91300000000
72793770562342650, 15000000000000000, 160948, 110906, 84889387690, 84889387690
8026113693341593, 20000000000000000, 160964, 110919, 84889387690, 84889387690
41088391603960614, 67962705609968059, 179848, 125882, 89173437943, 89173437943
0, 652184612018441600, 170446, 118697, 102177227167, 102177227167
958622550545912, 450000000000000000, 173802, 121442, 79926335084, 79926335084
9287687487386838, 15000000000000000, 187370, 132579, 79926335084, 79926335084
247202269767873187, 300000000000000000, 236254, 172680, 82747433864, 82747433864
253680169473354163, 21000000000000000, 191066, 135612, 76306775007, 76306775007
13611826186644541, 69000000000000000, 180080, 126600, 80300000000, 80300000000
103032713342473964, 316548910021985112, 209250, 149347, 79959140589, 79959140589
110350171664359012, 294336527276969449, 160816, 110764, 75834639392, 75834639392
240519329631000, 2313563572665416952, 179917, 121131, 72625726370, 72625726370
764785119045519695, 1700000000000000000, 196410, 139996, 86900000000, 86900000000
77977697060835860, 166180514140459881, 194038, 137707, 77882319172, 77882319172
31613302877081574, 6400000000000000000, 354316, 251863, 77882319172, 77882319172
375870460153644455, 5721363249541859562, 188781, 133326, 77678038849, 77678038849
303934513757293892, 48402711137173619, 202096, 144422, 75889714463, 75889714463
792453974779627110, 216534742422314965, 203092, 145252, 75526357802, 75526357802
322775668593000, 6101780401009704, 177843, 124211, 83584940216, 83584940216
16468405685458997, 291627306526233668, 188952, 133468, 83534940216, 83534940216
15229821494528422, 153000031009693634, 181465, 127737, 83534940216, 83534940216
129158169927604587, 300000000000000000, 163843, 115770, 82336225787, 82336225787
48792914000000000, 147000000000000000, 168913, 108749, 75000000000, 75000000000
97933919921977668108, 10000000000000000000, 220873, 160063, 74851114352, 74851114352
13839452899548525, 9000000000000000, 199855, 142811, 71967334824, 71967334824
0, 329582935192890620, 187504, 132681, 95123395834, 95123395834
3822938640937159, 93682099972615748, 190096, 134422, 73127866159, 73127866159
24371714791002082, 380000000000000000, 277972, 206903, 72864127468, 72864127468
197777856905437278, 50000000000000000, 312363, 217449, 72864127468, 72864127468
74456592392936346, 262794268897988208, 185192, 130335, 72864127468, 72864127468
29913119843013478, 625987317221487902, 323928, 244601, 82217759322, 82217759322
8369948007890827, 100000000000000000, 159968, 110102, 83050061963, 83050061963
7695894937366459, 9788556156316949, 194646, 138213, 78400913336, 78400913336
92918540625873211, 386700000000000000, 162030, 115652, 78400913336, 78400913336
19171911500000000, 100000000000000000, 391944, 300384, 78100000000, 78100000000
13407845148105860, 30000000000000000, 182048, 128190, 74827637506, 74827637506
65259554365713465, 25000000000000000, 161049, 110989, 82409401256, 82409401256
101024213985276074, 572165604920220, 200738, 143290, 82487664657, 82487664657
3065274283669799086, 1000000000000000000, 184213, 129990, 98641025641, 98641025641
98084923200511000, 8566680048845384734, 178866, 128104, 90186431122, 90186431122
90062885657704144, 3200000000000000000, 213638, 154128, 85078819827, 85078819827
53693819476925927, 2037027383937267105, 209204, 150345, 85078819827, 85078819827
